"Supercluster"	"Number of reads"	"Automatic_annotation"	"Similarity_hits"	"TAREAN_annotation"	"Clusters"
78	1689	"NA"	"                                                | nhits | proportion |        features
--------------------------------------------------------------------------------------
All                                             | 1     | 0.00059    |                
 '--repeat                                      | 1     | 0.00059    |                
     '--mobile_element                          | 1     | 0.00059    |                
         '--Class_I                             | 1     | 0.00059    |                
             '--pararetrovirus                  | 1     | 0.00059    | 1 (PARA-PROT), "	NA	"249,237"
79	1665	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 12    | 0.0072     |         
 '--organelle                                   | 12    | 0.0072     |         
     '--plastid                                 | 12    | 0.0072     |         "	NA	"177"
80	1662	"plastid"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 1521  | 0.91       |         
 '--organelle                                   | 1521  | 0.91       |         
     |--plastid                                 | 1503  | 0.9        |         
     '--mitochondria                            | 18    | 0.011      |         "	NA	"178"
81	1595	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"179"
82	1556	"TAR"	"                                                | nhits | proportion |                                                   features
---------------------------------------------------------------------------------------------------------------------------------
All                                             | 720   | 0.46       |                                                           
 '--repeat                                      | 720   | 0.46       |                                                           
     '--mobile_element                          | 720   | 0.46       |                                                           
         '--Class_I                             | 720   | 0.46       |                                                           
             '--LTR                             | 720   | 0.46       |                                                           
                 '--Ty1_copia                   | 720   | 0.46       |                                                           
                     |--Ale                     | 6     | 0.0039     | 6 (Ty1-RT),                                               
                     |--Alesia                  | 1     | 0.00064    | 1 (Ty1-INT),                                              
                     |--Bianca                  | 1     | 0.00064    | 1 (Ty1-RT),                                               
                     |--Bryco                   | 1     | 0.00064    | 1 (Ty1-RT),                                               
                     |--Gymco-I                 | 2     | 0.0013     | 2 (Ty1-RT),                                               
                     |--Ikeros                  | 9     | 0.0058     | 9 (Ty1-RT),                                               
                     |--Ivana                   | 4     | 0.0026     | 3 (Ty1-INT), 1 (Ty1-RT),                                  
                     |--SIRE                    | 1     | 0.00064    | 1 (Ty1-RT),                                               
                     '--TAR                     | 695   | 0.45       | 200 (Ty1-INT), 44 (Ty1-PROT), 128 (Ty1-RH), 323 (Ty1-RT), "	NA	"181"
83	1553	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 1     | 0.00064    |         
 '--organelle                                   | 1     | 0.00064    |         
     '--plastid                                 | 1     | 0.00064    |         "	NA	"381,438,219"
84	1548	"plastid"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 1425  | 0.92       |         
 '--organelle                                   | 1425  | 0.92       |         
     |--plastid                                 | 1419  | 0.92       |         
     '--mitochondria                            | 6     | 0.0039     |         "	NA	"182"
85	1528	"satellite"	"                                                | nhits | proportion |               features
---------------------------------------------------------------------------------------------
All                                             | 1587  | 1          |                       
 '--repeat                                      | 1587  | 1          |                       
     |--satellite                               | 1528  | 1          |                       
     '--mobile_element                          | 59    | 0.039      |                       
         '--Class_II                            | 59    | 0.039      |                       
             '--Subclass_1                      | 59    | 0.039      |                       
                 '--TIR                         | 59    | 0.039      |                       
                     '--PIF_Harbinger           | 59    | 0.039      | 59 (Harbinger-TPase), "	"183 - Putative satellites (low confidence)"	"183"
86	1512	"satellite"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 1512  | 1          |         
 '--repeat                                      | 1512  | 1          |         
     '--satellite                               | 1512  | 1          |         "	"184 - Putative satellites (low confidence)"	"184"
87	1488	"mitochondria"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 855   | 0.58       |         
 '--organelle                                   | 855   | 0.58       |         
     |--plastid                                 | 15    | 0.01       |         
     '--mitochondria                            | 840   | 0.56       |         "	NA	"185"
88	1482	"plastid"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 1417  | 0.96       |         
 '--organelle                                   | 1417  | 0.96       |         
     |--plastid                                 | 1285  | 0.87       |         
     '--mitochondria                            | 132   | 0.089      |         "	NA	"186"
89	1480	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"187"
90	1471	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"188"
91	1469	"mitochondria"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 880   | 0.6        |         
 '--organelle                                   | 880   | 0.6        |         
     '--mitochondria                            | 880   | 0.6        |         "	NA	"190"
92	1442	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 1     | 0.00069    |         
 '--organelle                                   | 1     | 0.00069    |         
     '--plastid                                 | 1     | 0.00069    |         "	NA	"192"
93	1428	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"193"
94	1421	"TAR"	"                                                | nhits | proportion |                                                               features
---------------------------------------------------------------------------------------------------------------------------------------------
All                                             | 456   | 0.32       |                                                                       
 '--repeat                                      | 456   | 0.32       |                                                                       
     '--mobile_element                          | 456   | 0.32       |                                                                       
         '--Class_I                             | 456   | 0.32       |                                                                       
             '--LTR                             | 456   | 0.32       |                                                                       
                 '--Ty1_copia                   | 456   | 0.32       |                                                                       
                     |--Ale                     | 1     | 7e-04      | 1 (Ty1-RT),                                                           
                     |--Ivana                   | 5     | 0.0035     | 5 (Ty1-RH),                                                           
                     '--TAR                     | 450   | 0.32       | 42 (Ty1-GAG), 80 (Ty1-INT), 27 (Ty1-PROT), 99 (Ty1-RH), 202 (Ty1-RT), "	NA	"194"
95	1419	"plastid"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 1418  | 1          |         
 '--organelle                                   | 1418  | 1          |         
     '--plastid                                 | 1418  | 1          |         "	NA	"195"
96	1373	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"196"
97	1351	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"197"
98	1310	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"198"
99	1301	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 2     | 0.0015     |         
 '--organelle                                   | 2     | 0.0015     |         
     |--plastid                                 | 1     | 0.00077    |         
     '--mitochondria                            | 1     | 0.00077    |         "	NA	"199"
100	1282	"mitochondria"	"                                                | nhits | proportion |       features
-------------------------------------------------------------------------------------
All                                             | 473   | 0.37       |               
 |--organelle                                   | 460   | 0.36       |               
 |   '--mitochondria                            | 460   | 0.36       |               
 '--repeat                                      | 13    | 0.01       |               
     '--mobile_element                          | 13    | 0.01       |               
         '--Class_I                             | 13    | 0.01       |               
             '--LINE                            | 13    | 0.01       | 13 (LINE-RH), "	NA	"201"
101	1267	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"202"
102	1264	"mitochondria"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 1091  | 0.86       |         
 '--organelle                                   | 1091  | 0.86       |         
     '--mitochondria                            | 1091  | 0.86       |         "	NA	"203"
103	1225	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"207"
104	1210	"NA"	"                                                | nhits | proportion |                        features
------------------------------------------------------------------------------------------------------
All                                             | 487   | 0.4        |                                
 |--organelle                                   | 344   | 0.28       |                                
 |   '--mitochondria                            | 344   | 0.28       |                                
 '--repeat                                      | 143   | 0.12       |                                
     '--mobile_element                          | 143   | 0.12       |                                
         '--Class_I                             | 143   | 0.12       |                                
             |--LTR                             | 1     | 0.00083    |                                
             |   '--Ty3_gypsy                   | 1     | 0.00083    |                                
             |       '--non-chromovirus         | 1     | 0.00083    |                                
             |           '--OTA                 | 1     | 0.00083    |                                
             |               '--Tat             | 1     | 0.00083    |                                
             |                   '--Ogre        | 1     | 0.00083    | 1 (Ty3-PROT),                  
             '--LINE                            | 142   | 0.12       | 18 (LINE-ENDO), 124 (LINE-RT), "	NA	"209"
105	1203	"mitochondria"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 602   | 0.5        |         
 '--organelle                                   | 602   | 0.5        |         
     |--plastid                                 | 1     | 0.00083    |         
     '--mitochondria                            | 601   | 0.5        |         "	NA	"210"
106	1200	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"211"
107	1192	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"212"
108	1167	"mitochondria"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 609   | 0.52       |         
 '--organelle                                   | 609   | 0.52       |         
     '--mitochondria                            | 609   | 0.52       |         "	NA	"214"
109	1150	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"215"
110	1128	"plastid"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 1088  | 0.96       |         
 '--organelle                                   | 1088  | 0.96       |         
     '--plastid                                 | 1088  | 0.96       |         "	NA	"216"
111	1128	"mitochondria"	"                                                | nhits | proportion |      features
------------------------------------------------------------------------------------
All                                             | 449   | 0.4        |              
 |--organelle                                   | 433   | 0.38       |              
 |   |--plastid                                 | 1     | 0.00089    |              
 |   '--mitochondria                            | 432   | 0.38       |              
 '--repeat                                      | 16    | 0.014      |              
     '--mobile_element                          | 16    | 0.014      |              
         '--Class_I                             | 16    | 0.014      |              
             |--LTR                             | 15    | 0.013      |              
             |   '--Ty1_copia                   | 15    | 0.013      |              
             |       |--Ale                     | 14    | 0.012      | 14 (Ty1-RH), 
             |       '--Alesia                  | 1     | 0.00089    | 1 (Ty1-RH),  
             '--LINE                            | 1     | 0.00089    | 1 (LINE-RT), "	NA	"217"
112	1119	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 1     | 0.00089    |         
 '--organelle                                   | 1     | 0.00089    |         
     '--plastid                                 | 1     | 0.00089    |         "	NA	"218"
113	1074	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"220"
114	1072	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"378,247"
115	1031	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"221"
116	1028	"satellite"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 1028  | 1          |         
 '--repeat                                      | 1028  | 1          |         
     '--satellite                               | 1028  | 1          |         "	"222 - Putative satellites (low confidence)"	"222"
117	1022	"plastid"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 1021  | 1          |         
 '--organelle                                   | 1021  | 1          |         
     '--plastid                                 | 1021  | 1          |         "	NA	"223"
118	998	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"225"
119	989	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"226"
120	985	"Helitron"	"                                                | nhits | proportion |                                  features
----------------------------------------------------------------------------------------------------------------
All                                             | 1251  | 1.3        |                                          
 '--repeat                                      | 1251  | 1.3        |                                          
     |--satellite                               | 985   | 1          |                                          
     '--mobile_element                          | 266   | 0.27       |                                          
         '--Class_II                            | 266   | 0.27       |                                          
             '--Subclass_2                      | 266   | 0.27       |                                          
                 '--Helitron                    | 266   | 0.27       | 62 (Helitron-HEL1), 204 (Helitron-HEL2), "	"227 - Putative satellites (low confidence)"	"227"
121	966	"mitochondria"	"                                                | nhits | proportion |                   features
-------------------------------------------------------------------------------------------------
All                                             | 403   | 0.42       |                           
 |--organelle                                   | 333   | 0.35       |                           
 |   |--plastid                                 | 1     | 0.001      |                           
 |   '--mitochondria                            | 332   | 0.34       |                           
 '--repeat                                      | 70    | 0.072      |                           
     '--mobile_element                          | 70    | 0.072      |                           
         '--Class_I                             | 70    | 0.072      |                           
             '--LTR                             | 70    | 0.072      |                           
                 '--Ty3_gypsy                   | 70    | 0.072      |                           
                     '--non-chromovirus         | 70    | 0.072      |                           
                         '--OTA                 | 70    | 0.072      |                           
                             '--Tat             | 70    | 0.072      |                           
                                 '--Ogre        | 70    | 0.072      | 2 (Ty3-GAG), 68 (Ty3-RT), "	NA	"229"
122	964	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"230"
123	961	"mitochondria"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 428   | 0.45       |         
 '--organelle                                   | 428   | 0.45       |         
     |--plastid                                 | 1     | 0.001      |         
     '--mitochondria                            | 427   | 0.44       |         "	NA	"231"
124	952	"NA"	"                                                | nhits | proportion |      features
------------------------------------------------------------------------------------
All                                             | 2     | 0.0021     |              
 |--organelle                                   | 1     | 0.001      |              
 |   '--plastid                                 | 1     | 0.001      |              
 '--repeat                                      | 1     | 0.001      |              
     '--mobile_element                          | 1     | 0.001      |              
         '--Class_I                             | 1     | 0.001      |              
             '--LTR                             | 1     | 0.001      |              
                 '--Ty1_copia                   | 1     | 0.001      |              
                     '--Ivana                   | 1     | 0.001      | 1 (Ty1-INT), "	NA	"232"
125	930	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"234"
126	922	"mitochondria"	"                                                | nhits | proportion |       features
-------------------------------------------------------------------------------------
All                                             | 448   | 0.49       |               
 |--organelle                                   | 435   | 0.47       |               
 |   '--mitochondria                            | 435   | 0.47       |               
 '--repeat                                      | 13    | 0.014      |               
     '--mobile_element                          | 13    | 0.014      |               
         '--Class_I                             | 13    | 0.014      |               
             '--LTR                             | 13    | 0.014      |               
                 |--Ty1_copia                   | 9     | 0.0098     |               
                 |   |--TAR                     | 4     | 0.0043     | 4 (Ty1-RH),   
                 |   '--Tork                    | 5     | 0.0054     | 5 (Ty1-RH),   
                 '--Ty3_gypsy                   | 4     | 0.0043     |               
                     '--non-chromovirus         | 4     | 0.0043     |               
                         '--OTA                 | 4     | 0.0043     |               
                             '--Tat             | 4     | 0.0043     |               
                                 '--Ogre        | 4     | 0.0043     | 4 (Ty3-PROT), "	NA	"235"
127	905	"mitochondria"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 632   | 0.7        |         
 '--organelle                                   | 632   | 0.7        |         
     '--mitochondria                            | 632   | 0.7        |         "	NA	"236"
128	899	"Angela"	"                                                | nhits | proportion |                                                features
------------------------------------------------------------------------------------------------------------------------------
All                                             | 261   | 0.29       |                                                        
 '--repeat                                      | 261   | 0.29       |                                                        
     '--mobile_element                          | 261   | 0.29       |                                                        
         '--Class_I                             | 261   | 0.29       |                                                        
             '--LTR                             | 261   | 0.29       |                                                        
                 '--Ty1_copia                   | 261   | 0.29       |                                                        
                     |--Ale                     | 6     | 0.0067     | 6 (Ty1-RT),                                            
                     |--Angela                  | 254   | 0.28       | 57 (Ty1-INT), 8 (Ty1-PROT), 65 (Ty1-RH), 124 (Ty1-RT), 
                     '--Ikeros                  | 1     | 0.0011     | 1 (Ty1-RT),                                            "	NA	"238"
129	893	"mitochondria"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 576   | 0.64       |         
 '--organelle                                   | 576   | 0.64       |         
     '--mitochondria                            | 576   | 0.64       |         "	NA	"239"
130	870	"NA"	"                                                | nhits | proportion |                      features
----------------------------------------------------------------------------------------------------
All                                             | 393   | 0.45       |                              
 |--organelle                                   | 207   | 0.24       |                              
 |   '--mitochondria                            | 207   | 0.24       |                              
 '--repeat                                      | 186   | 0.21       |                              
     '--mobile_element                          | 186   | 0.21       |                              
         '--Class_I                             | 186   | 0.21       |                              
             |--LTR                             | 3     | 0.0034     |                              
             |   '--Ty3_gypsy                   | 3     | 0.0034     |                              
             |       '--non-chromovirus         | 3     | 0.0034     |                              
             |           '--OTA                 | 3     | 0.0034     |                              
             |               '--Tat             | 3     | 0.0034     |                              
             |                   '--Ogre        | 3     | 0.0034     | 3 (Ty3-INT),                 
             '--LINE                            | 183   | 0.21       | 14 (LINE-RH), 169 (LINE-RT), "	NA	"240"
131	853	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"241"
132	845	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"242"
133	836	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"243"
134	835	"mitochondria"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 283   | 0.34       |         
 '--organelle                                   | 283   | 0.34       |         
     '--mitochondria                            | 283   | 0.34       |         "	NA	"244"
135	832	"mitochondria"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 336   | 0.4        |         
 '--organelle                                   | 336   | 0.4        |         
     |--plastid                                 | 1     | 0.0012     |         
     '--mitochondria                            | 335   | 0.4        |         "	NA	"246"
136	801	"mitochondria"	"                                                | nhits | proportion |       features
-------------------------------------------------------------------------------------
All                                             | 450   | 0.56       |               
 |--organelle                                   | 375   | 0.47       |               
 |   '--mitochondria                            | 375   | 0.47       |               
 '--repeat                                      | 75    | 0.094      |               
     '--mobile_element                          | 75    | 0.094      |               
         '--Class_I                             | 75    | 0.094      |               
             '--LTR                             | 75    | 0.094      |               
                 '--Ty3_gypsy                   | 75    | 0.094      |               
                     '--chromovirus             | 75    | 0.094      |               
                         |--Galadriel           | 74    | 0.092      | 74 (Ty3-INT), 
                         '--Tekay               | 1     | 0.0012     | 1 (Ty3-INT),  "	NA	"248"
137	796	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"551,265"
138	785	"NA"	"                                                | nhits | proportion |     features
-----------------------------------------------------------------------------------
All                                             | 2     | 0.0025     |             
 '--repeat                                      | 2     | 0.0025     |             
     |--rDNA                                    | 1     | 0.0013     |             
     |   '--45S_rDNA                            | 1     | 0.0013     |             
     |       '--25S_rDNA                        | 1     | 0.0013     |             
     '--mobile_element                          | 1     | 0.0013     |             
         '--Class_I                             | 1     | 0.0013     |             
             '--LTR                             | 1     | 0.0013     |             
                 '--Ty1_copia                   | 1     | 0.0013     |             
                     '--TAR                     | 1     | 0.0013     | 1 (Ty1-RH), "	NA	"250"
139	781	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"251"
140	764	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"253"
141	751	"mitochondria"	"                                                | nhits | proportion |        features
--------------------------------------------------------------------------------------
All                                             | 470   | 0.63       |                
 |--organelle                                   | 458   | 0.61       |                
 |   '--mitochondria                            | 458   | 0.61       |                
 '--repeat                                      | 12    | 0.016      |                
     '--mobile_element                          | 12    | 0.016      |                
         '--Class_I                             | 12    | 0.016      |                
             '--LTR                             | 12    | 0.016      |                
                 '--Ty1_copia                   | 12    | 0.016      |                
                     |--Alesia                  | 2     | 0.0027     | 2 (Ty1-PROT),  
                     '--SIRE                    | 10    | 0.013      | 10 (Ty1-PROT), "	NA	"254"
142	748	"mitochondria"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 428   | 0.57       |         
 '--organelle                                   | 428   | 0.57       |         
     '--mitochondria                            | 428   | 0.57       |         "	NA	"255"
143	725	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"256"
144	723	"mitochondria"	"                                                | nhits | proportion |      features
------------------------------------------------------------------------------------
All                                             | 317   | 0.44       |              
 |--organelle                                   | 309   | 0.43       |              
 |   '--mitochondria                            | 309   | 0.43       |              
 '--repeat                                      | 8     | 0.011      |              
     '--mobile_element                          | 8     | 0.011      |              
         '--Class_I                             | 8     | 0.011      |              
             '--LINE                            | 8     | 0.011      | 8 (LINE-RH), "	NA	"257"
145	722	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"258"
146	709	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"259"
147	703	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"260"
148	695	"NA"	"                                                | nhits | proportion |      features
------------------------------------------------------------------------------------
All                                             | 16    | 0.023      |              
 '--repeat                                      | 16    | 0.023      |              
     '--mobile_element                          | 16    | 0.023      |              
         '--Class_I                             | 16    | 0.023      |              
             '--LTR                             | 16    | 0.023      |              
                 '--Ty3_gypsy                   | 16    | 0.023      |              
                     '--non-chromovirus         | 16    | 0.023      |              
                         '--Selgy               | 16    | 0.023      | 16 (Ty3-RT), "	NA	"261"
149	664	"Ale"	"                                                | nhits | proportion |                                                              features
--------------------------------------------------------------------------------------------------------------------------------------------
All                                             | 291   | 0.44       |                                                                      
 |--organelle                                   | 4     | 0.006      |                                                                      
 |   '--mitochondria                            | 4     | 0.006      |                                                                      
 '--repeat                                      | 287   | 0.43       |                                                                      
     '--mobile_element                          | 287   | 0.43       |                                                                      
         '--Class_I                             | 287   | 0.43       |                                                                      
             '--LTR                             | 287   | 0.43       |                                                                      
                 '--Ty1_copia                   | 287   | 0.43       |                                                                      
                     |--Ale                     | 279   | 0.42       | 43 (Ty1-GAG), 65 (Ty1-INT), 9 (Ty1-PROT), 48 (Ty1-RH), 114 (Ty1-RT), 
                     |--Lyco                    | 1     | 0.0015     | 1 (Ty1-PROT),                                                        
                     '--Ivana                   | 7     | 0.01       | 5 (Ty1-RH), 2 (Ty1-RT),                                              "	NA	"262"
150	663	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"263"
151	661	"NA"	"                                                | nhits | proportion |        features
--------------------------------------------------------------------------------------
All                                             | 388   | 0.59       |                
 |--organelle                                   | 240   | 0.36       |                
 |   '--mitochondria                            | 240   | 0.36       |                
 '--repeat                                      | 148   | 0.22       |                
     '--mobile_element                          | 148   | 0.22       |                
         '--Class_I                             | 148   | 0.22       |                
             '--LINE                            | 148   | 0.22       | 148 (LINE-RT), "	NA	"264"
152	655	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"266"
153	646	"Ivana"	"                                                | nhits | proportion |                      features
----------------------------------------------------------------------------------------------------
All                                             | 105   | 0.16       |                              
 '--repeat                                      | 105   | 0.16       |                              
     '--mobile_element                          | 105   | 0.16       |                              
         '--Class_I                             | 105   | 0.16       |                              
             '--LTR                             | 105   | 0.16       |                              
                 |--Ty1_copia                   | 104   | 0.16       |                              
                 |   '--Ivana                   | 104   | 0.16       | 52 (Ty1-GAG), 52 (Ty1-PROT), 
                 '--Ty3_gypsy                   | 1     | 0.0016     |                              
                     '--non-chromovirus         | 1     | 0.0016     |                              
                         '--OTA                 | 1     | 0.0016     |                              
                             '--Tat             | 1     | 0.0016     |                              
                                 '--Retand      | 1     | 0.0016     | 1 (Ty3-INT),                 "	NA	"1883,272"
